Post FREE Ads,বিনামুল্যে বিজ্ঞাপন দিন
Ad Information,তথ্য সংযোজন করুন
Select Category,ক্যাটাগোরি নির্বাচন করুন
Select one,একটি নির্বাচন করুন
Ad Title,শিরোনাম সংযোজন করুন
Ad Description,বর্ননা সংযোজন করুন
Including more details will help you getting better responses,বিস্তারিত বর্ননা যোগ করলে আরো বেশী গ্রাহক প্রতিক্রিয়া পেতে পারেন।
”Desired Price (Tk.)”,”কাঙ্খিত মূল্য (টাকা) ”
"Private (Select, if you don't want to publish the price)","অপ্রকাশ্য (নির্বাচন করুন, যদি আপনি মূল্য প্রকাশ করতে না চান)"
Add Image,ছবি সংযোজন করুন
"Allowed image types: jpg, png, gif | Max upload: 4 images","অনুমোদিত ছবির প্রকার: jpg, png, gif | সর্বোচ্চ ৪ টি ছবি ব্যবহার করা যাবে"
"Ads with multiple images get 3 times better responses than those without","একাধিক ছবি ব্যবহার করলে ৩ গুন বেশী প্রতিক্রিয়া পেতে পারেন"
Keywords,মূল শব্দগুলো
"Use spaces to separate tags. Use single quotes (') for phrases","ট্যাগগুলো আলাদা করার জন্য শুন্যস্থান ব্যবহার করুন। বাক্যগুলো আলাদা করার জন্য একটি করে quote(') ব্যবহার করুন"
Including relevant keywords will make your ad more discoverable,প্রাসঙ্গিক কীওয়ার্ড ব্যবহার করলে আপনার বিজ্ঞাপনটি আরো খুজেঁ পাওয়ার উপযোগী হবে
Overview,বিজ্ঞাপণ বর্ণনা
Name,নাম
Phone Number,ফোন নাম্বার
Check to update with your account Phone Number,আপনার একাউন্ট ফোন নাম্বার হালনাগাদ করতে নির্বাচন করুন
Email,ইমেইল
Location,অবস্থান
Check to update with your account Location,আপনার একাউন্টে অবস্থান হালনাগাদ করতে নির্বাচন করুন
I accept all the Terms and Conditions.,আমি সমস্ত শর্তাবলী স্বীকার করছি।
Submit,সমর্পণ করা
"You are welcome to post your advertisement without registration. However, registration and log-in before posting an advertisement is recommended since,","আপনি চাইলে নিবন্ধন না করেও বিজ্ঞাপন দিতে পারেন। তবে নিবন্ধন ও লগইন করে বিজ্ঞাপন দেয়া বেশী ভাল, কারন"
"i. It helps for your credibility among the targeted audience.","১. এটি কাংক্ষিত গ্রাহকদের কাছে আপনার বিশ্বস্ততা বাড়াতে সাহায্য করে।"
"ii. You wont need to type your phone number, location etc. each time you post an advertisement.","২. যতবারই বিজ্ঞাপন দিবেন আপনার ফোন নাম্বার, অবস্থান ইত্যাদি তথ্য বারবার দিতে হবে না।"
Message to Advertiser,বিজ্ঞাপনদাতাকে বার্তা পাঠান
Sender:,প্রেরক:
Name:,নাম:
Email:,ইমেইল:
Message:,বার্তা:
Recipient:,প্রাপক:
Location:,অবস্থান:
Phone:,ফোন:
Back,পেছনে
Send Email,ইমেইল পাঠান
Advertiser Information,বিজ্ঞাপনদাতার তথ্য
Advertiser Name,বিজ্ঞাপনদাতা
Comments,মন্তব্য
