Add Recipient,প্রাপক যোগ করুন
Allow for Guests,অতিথির জন্য অনুমতি দিন
Email Address,ইমেইল ঠিকানা
Email Address:,ইমেইল ঠিকানা:
Email templates,ইমেল টেমপ্লেটগুলো
Email to a Friend,বন্ধুকে ইমেইল করুন
Email:,ইমেইল:
Enabled,সক্রিয়
Limit Sending By,Limit Sending By
Link to a friend was sent.,আপনার বন্ধুকে লিংকটি পাঠানো হয়েছে।
Max Products Sent in 1 Hour,১ ঘন্টায় যে পন্যগুলো সবচেয়ে বেশী পাঠানো হয়েছে
Max Recipients,যারা সবচেয়ে বেশী পেয়েছেন
Maximum %d email addresses allowed.,সর্বোচ্চ %d টি ইমেইল ঠিকানা গ্রহনযোগ্য।
Message:,বার্তা:
Name,নাম
Name:,নাম:
Recipient:,প্রাপক:
Remove Email,ইমেইল মুছুন
Select email template,ইমেল টেমপ্লেট পাঠান
Send email,ইমেইল পাঠান
Send product to a friend,বন্ধুকে পন্য পাঠান
Sender:,প্রেরক:
Some emails was not sent,কিছু ইমেইল পাঠানো হয়নি
Some problems with data.,ডেটা নিয়ে কিছু সমস্যা।
You cannot email this product to a friend,আপনি এই পন্যটি বন্ধকে ইমেইল করতে পারেন না
You cannot send more than %d times in an hour,আপনি এক ঘন্টায় %d বারের চেয়ে বেশী পাঠাতে পারেন না
